Rank,Name,Team,Position
1,Roki Sasaki,Los Angeles Dodgers,RHP
2,Roman Anthony,Boston Red Sox,OF
3,Jackson Jobe,Detroit Tigers,RHP
4,Kristian Campbell,Boston Red Sox,2B
5,Walker Jenkins,Minnesota Twins,OF
6,Dylan Crews,Washington Nationals,OF
7,Bubba Chandler,Pittsburgh Pirates,RHP
8,Chase Dollander,Colorado Rockies,RHP
9,Andrew Painter,Philadelphia Phillies,RHP
10,Noah Schultz,Chicago White Sox,LHP
11,Carson Williams,Tampa Bay Rays,SS
12,Bryce Eldridge,San Francisco Giants,1B
13,Jordan Lawlar,Arizona Diamondbacks,SS
14,Samuel Basallo,Baltimore Orioles,C
15,Marcelo Mayer,Boston Red Sox,SS
16,Colt Emerson,Seattle Mariners,SS
17,Jesus Made,Milwaukee Brewers,SS
18,Leodalis De Vries,San Diego Padres,SS
19,Emmanuel Rodriguez,Minnesota Twins,OF
20,Kumar Rocker,Texas Rangers,RHP
21,Sebastian Walcott,Texas Rangers,SS
22,Max Clark,Detroit Tigers,OF
23,Kevin McGonigle,Detroit Tigers,SS
24,Travis Bazzana,Cleveland Guardians,2B
25,JJ Wetherholt,St. Louis Cardinals,SS
26,Rhett Lowder,Cincinnati Reds,RHP
27,Chase Burns,Cincinnati Reds,RHP
28,Jasson Dominguez,New York Yankees,OF
29,Coby Mayo,Baltimore Orioles,3B
30,Dalton Rushing,Los Angeles Dodgers,C / OF
31,Ethan Salas,San Diego Padres,C
32,Jaison Chourio,Cleveland Guardians,OF
33,Thomas White,Miami Marlins,LHP
34,Nick Kurtz,Athletics,1B
35,Matt Shaw,Chicago Cubs,3B
36,Aidan Miller,Philadelphia Phillies,SS
37,Angel Genao,Cleveland Guardians,SS
38,Jacob Wilson,Athletics,SS
39,Colson Montgomery,Chicago White Sox,SS
40,Hagen Smith,Chicago White Sox,LHP
41,Quinn Mathews,St. Louis Cardinals,LHP
42,Charlie Condon,Colorado Rockies,OF
43,Jeferson Quero,Milwaukee Brewers,C
44,Jacob Misiorowski,Milwaukee Brewers,RHP
45,Luke Keaschall,Minnesota Twins,2B
46,Alex Freeland,Los Angeles Dodgers,SS
47,Josue De Paula,Los Angeles Dodgers,OF
48,Chase DeLauter,Cleveland Guardians,OF
49,Alejandro Rosario,Texas Rangers,RHP
50,Cooper Pratt,Milwaukee Brewers,SS
51,Zyhir Hope,Los Angeles Dodgers,OF
52,Kyle Teel,Chicago White Sox,C
53,Drake Baldwin,Atlanta Braves,C
54,Cade Horton,Chicago Cubs,RHP
55,Cam Smith,Houston Astros,3B
56,Cole Young,Seattle Mariners,SS
57,Konnor Griffin,Pittsburgh Pirates,SS
58,Jett Williams,New York Mets,SS
59,Travis Sykora,Washington Nationals,RHP
60,Bryce Rainer,Detroit Tigers,SS
61,Brandon Sproat,New York Mets,RHP
62,Moises Ballesteros,Chicago Cubs,C
63,Jac Caglianone,Kansas City Royals,1B
64,Owen Caissie,Chicago Cubs,OF
65,Brayden Taylor,Tampa Bay Rays,3B
66,Braden Montgomery,Chicago White Sox,OF
67,Jarlin Susana,Washington Nationals,RHP
68,Tink Hence,St. Louis Cardinals,RHP
69,Thayron Liranzo,Detroit Tigers,C
70,Jonny Farmelo,Seattle Mariners,OF
71,Kevin Alcantara,Chicago Cubs,OF
72,Starlyn Caba,Miami Marlins,SS
73,Zebby Matthews,Minnesota Twins,RHP
74,Thomas Harrington,Pittsburgh Pirates,RHP
75,Blake Mitchell,Kansas City Royals,C
76,Franklin Arias,Boston Red Sox,SS
77,Michael Arroyo,Seattle Mariners,2B
78,Caden Dana,Los Angeles Angels,RHP
79,Christian Moore,Los Angeles Angels,2B
80,Tre' Morgan,Tampa Bay Rays,1B
81,Heston Kjerstad,Baltimore Orioles,OF
82,Jackson Ferris,Los Angeles Dodgers,LHP
83,AJ Smith-Shawver,Atlanta Braves,RHP
84,Demetrio Crisantes,Arizona Diamondbacks,2B
85,Cole Carrigg,Colorado Rockies,OF
86,Colby Thomas,Athletics,OF
87,Xavier Isaac,Tampa Bay Rays,1B
88,George Lombard,New York Yankees,SS
89,Felnin Celesten,Seattle Mariners,SS
90,Trevor Harrison,Tampa Bay Rays,RHP
91,Ralphy Velazquez,Cleveland Guardians,1B
92,Jesus Baez,New York Mets,3B
93,Eduardo Tait,Philadelphia Phillies,C
94,Gary Gill Hill,Tampa Bay Rays,RHP
95,Harry Ford,Seattle Mariners,C
96,Justin Crawford,Philadelphia Phillies,OF
97,Lazaro Montes,Seattle Mariners,OF
98,Chase Petty,Cincinnati Reds,RHP
99,Nolan McLean,New York Mets,RHP
100,Ricky Tiedemann,Toronto Blue Jays,LHP
