Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Age
Jacob deGrom,TEX,15,9,,2.85724,32,32,0,0,,200,792,152,69,63,23,40,,6,271,12.1926,1.78093,6.84617,1.01571,0.342069,0.049965,0.2921041436493397,0.203889,0.958411,0.28626,0.767067,0.383583,,2.61498,6.77849,5.67966,40.029998779296875,,,,,,,1205.9,6.0295,1105,5.525,,,,,,,,,,,,,,,,,,,Jacob deGrom,10954,594798,36.7
Paul Skenes,PIT,14,9,,2.79917,32,32,0,0,,200,808,157,69,62,16,59,,8,257,11.567,2.63359,4.39209,0.74226,0.31822,0.0724529,0.2457670122385025,0.21145,1.07628,0.299853,0.762213,0.470836,,2.66614,6.18063,6.16547,11.239999771118164,,,,,,,1188.0,5.94,1105,5.525,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973,22.7
Garrett Crochet,BOS,15,10,,3.03826,32,32,0,0,,200,804,156,74,68,20,61,,8,260,11.6779,2.73525,4.26941,0.878781,0.322699,0.075584,0.2471149340271949,0.212541,1.08576,0.299645,0.756042,0.439859,,2.8678,5.6857,5.78309,23.0,,,,,,,1141.4,5.707000000000001,1053,5.265,,,,,,,,,,,,,,,,,,,Garrett Crochet,27463,676979,25.7
Tyler Glasnow,LAD,15,9,,3.22194,32,32,0,0,,200,807,163,78,72,22,57,,5,248,11.1684,2.54947,4.38067,1.00919,0.307379,0.0701671,0.2372119128704071,0.218315,1.09739,0.295444,0.75219,0.448947,,3.0665,5.13535,4.77369,108.9499969482422,,,,,,,1095.6,5.478000000000001,1024,5.12,,,,,,,,,,,,,,,,,,,Tyler Glasnow,14374,607192,31.5
Tarik Skubal,DET,14,10,,2.92117,32,32,0,0,,200,803,163,71,65,20,46,,8,233,10.4852,2.06389,5.08029,0.918593,0.290323,0.0571469,0.2331760786473751,0.218131,1.04574,0.288545,0.763486,0.435306,,2.97342,5.09537,5.27303,13.050000190734863,,,,,,,1114.2,5.571000000000001,1044,5.22,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373,28.2
Spencer Strider,ATL,15,9,,3.19125,32,32,0,0,,200,812,155,77,71,22,65,,8,265,11.9177,2.92493,4.07454,0.992202,0.326016,0.080013,0.2460029497742653,0.209011,1.09769,0.292798,0.7577,0.377359,,3.04568,4.90961,5.05075,131.3699951171875,,,,,,,1117.4,5.587000000000001,1025,5.125,,,,,,,,,,,,,,,,,,,Spencer Strider,27498,675911,26.3
Roki Sasaki,LAD,15,9,,3.29856,32,32,0,0,,200,818,159,79,73,24,63,,9,258,11.6299,2.82644,4.1147,1.0668,0.315947,0.0767849,0.2391620278358459,0.21366,1.11074,0.292558,0.756307,0.395912,,3.20663,4.87695,4.66195,999.0,,,,,,,1071.4,5.357,988,4.94,,,,,,,,,,,,,,,,,,,Roki Sasaki,sa3025686,808963,23.3
Chris Sale,ATL,15,8,,3.0693,32,32,0,0,,200,808,163,74,68,21,50,,10,247,11.0999,2.26932,4.89131,0.935046,0.305125,0.062381,0.2427439242601394,0.218422,1.06944,0.296682,0.754882,0.42585,,2.95113,4.83463,5.39268,35.88999938964844,,,,,,,1111.9,5.559500000000001,1041,5.205,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242,35.9
Zack Wheeler,PHI,14,9,,3.32157,32,32,0,0,,200,816,172,80,74,23,51,,9,214,9.63327,2.30894,4.17217,1.0338,0.262346,0.06288,0.1994660198688507,0.228014,1.11839,0.287902,0.748006,0.425639,,3.41958,4.65049,4.82257,20.920000076293945,,,,,,,997.9,4.9895,949,4.745,,,,,,,,,,,,,,,,,,,Zack Wheeler,10310,554430,34.7
Shane McClanahan,TBR,13,11,,3.31136,32,32,0,1,,200,818,172,80,74,22,59,,6,224,10.0714,2.65041,3.79995,1.00301,0.273692,0.0720251,0.2016667574644088,0.227733,1.152,0.294314,0.753217,0.448552,,3.34706,4.09972,4.14606,117.73999786376952,,,,,,,1019.2,5.096,971,4.855,,,,,,,,,,,,,,,,,,,Shane McClanahan,21483,663556,27.8
